,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__reg_alpha,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,53.843850453694664,1.9536114652163634,0.26581279436747235,0.0015557907917681183,0.3,10,40,0,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9229930247305009,0.9224206878165823,0.9206075294057936,0.9220070806509589,0.001016841564729189,9,0.9241,0.9236125,0.9217875,0.9231666666666666,0.0009953189047849154,8
1,52.52931149800619,0.9682499647688086,0.33061591784159344,0.08171980637369028,0.3,10,40,1,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9214987637101376,0.9231745226162532,0.9214497679255332,0.9220410180839748,0.0008017582928577323,8,0.9226125,0.9243125,0.922575,0.9231666666666666,0.0008103711426802419,8
2,54.76503189404806,1.112096233177749,0.27601424853007,0.012458710317568629,0.3,10,40,4,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9223845022567067,0.923114003374307,0.9202916006339144,0.9219300354216426,0.001196214692373082,10,0.923475,0.9242375,0.9214125,0.9230416666666666,0.0011933118014817586,10
3,64.58393049240112,0.49104679218589464,0.3472202618916829,0.07302022637224824,0.3,10,50,0,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.9232484762471964,0.9237172004263311,0.921255946717412,0.9227405411303131,0.0010670648268777505,5,0.9242875,0.92485,0.9224125,0.92385,0.0010420832500333207,6
4,65.72950259844463,1.262461646134356,0.3071487744649251,0.014767030222196635,0.3,10,50,1,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9223184070774028,0.9243981023416292,0.9225855513307984,0.9231006869166102,0.0009238710594878007,3,0.9233875,0.9255,0.92365,0.9241791666666667,0.0009400982513664241,4
5,67.0609962940216,1.4198596483918806,0.3689736525217692,0.10058097336419736,0.3,10,50,4,"{'model__learning_rate': 0.3, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9238860445075276,0.9245184931593696,0.9216259668578228,0.92334350150824,0.001241623072391401,2,0.924925,0.9255875,0.9226125,0.924375,0.0012752859156544992,2
6,104.10997263590495,2.772426957874503,0.4770304361979167,0.0033976635809676893,0.3,20,40,0,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9213860479316136,0.9224499153049658,0.9198761641462079,0.9212373757942623,0.001055975476394645,12,0.92275,0.9238875,0.9213875,0.9226749999999999,0.0010219976353527537,12
7,107.52144781748454,0.5068124205013377,0.4694116910298665,0.010648154261277099,0.3,20,40,1,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9218366542476762,0.9220275137123151,0.9209002888150947,0.9215881522583619,0.0004925944384908925,11,0.9231625,0.9234125,0.9222875,0.9229541666666666,0.00048232653761623185,11
8,108.8051410516103,0.10625632118351669,0.44054722785949707,0.0018234411396717326,0.3,20,40,4,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9238195653002376,0.9241030592539893,0.9213508872352604,0.9230911705964958,0.0012359967201946616,4,0.9250375,0.925325,0.9227125,0.9243583333333333,0.0011696835991934407,3
9,127.18479704856873,1.429548620486425,0.5366586844126383,0.003982913451911115,0.3,20,50,0,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.922718891079036,0.9238759610978156,0.9207085510386135,0.9224344677384884,0.0013086364655039075,7,0.9240375,0.92525,0.922225,0.9238375,0.0012430221907378477,7
10,133.02564549446106,2.617496700760313,0.5430560906728109,0.014637176136041477,0.3,20,50,1,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9230730094123634,0.9235663116641855,0.9213177308572883,0.9226523506446124,0.0009649677923643905,6,0.9244,0.9249125,0.922675,0.9239958333333332,0.0009571187955990022,5
11,135.04912869135538,2.205993342930842,0.5097706317901611,0.006525115378964746,0.3,20,50,4,"{'model__learning_rate': 0.3, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9246874682386421,0.9251463919620969,0.9218287022318306,0.9238875208108565,0.001467810887454353,1,0.9259,0.9263375,0.9231625,0.9251333333333333,0.001404988631824315,1
12,56.28029195467631,1.1886832339508442,0.2808878421783447,0.007777537073228897,0.01,10,40,0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.8917065059239243,0.8920100118014759,0.887998859379658,0.8905717923683527,0.0018235527736925005,22,0.8958,0.8959125,0.8919875,0.8945666666666666,0.001824324456400829,23
13,54.36771901448568,0.815496419700794,0.33823903401692706,0.08504959975259607,0.01,10,40,1,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.8916579053255973,0.8917797203704184,0.8882117247370948,0.8905497834777035,0.001654004984311086,23,0.8956625,0.8957,0.8922375,0.8945333333333334,0.001623471503360086,24
14,54.69959100087484,1.8958020090011172,0.28406890233357746,0.00360497023987188,0.01,10,40,4,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.8920394001611353,0.891416994584486,0.8880954544864387,0.8905172830773532,0.00173123991564614,24,0.89615,0.8954875,0.8922625,0.8946333333333333,0.0016981096516093864,22
15,67.19268997510274,1.0307795952913312,0.3725876013437907,0.08583968705723834,0.01,10,50,0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.8943691236818867,0.8938433005200835,0.8904910720074691,0.8929011654031465,0.0017176602557525296,19,0.898325,0.8976875,0.8944375,0.8968166666666667,0.0017023370373956265,19
16,69.03374719619751,1.359328953007573,0.3198917706807454,0.008463105139742483,0.01,10,50,1,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.8940241733418153,0.8938847520950627,0.89024659169034,0.8927185057090727,0.001748833660475209,20,0.8979625,0.89775,0.8942375,0.8966500000000001,0.0017080995775032174,20
17,67.50324575106303,1.36611538543588,0.3541413942972819,0.05393372279791285,0.01,10,50,4,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.8940622887745021,0.8927476752039067,0.8896625185108207,0.8921574941630764,0.001844040823664242,21,0.898125,0.896775,0.893825,0.8962416666666666,0.0017955191140416342,21
18,110.73060727119446,0.7596735361096429,0.7116462389628092,0.03742653920741495,0.01,20,40,0,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 0}",0.9031697341513293,0.9021490099706896,0.899932309028443,0.901750351050154,0.0013514010156786109,17,0.9053,0.9044375,0.9020625,0.9039333333333334,0.0013689386602604094,18
19,104.96204161643982,1.470952903098994,0.5887603759765625,0.014642044400570757,0.01,20,40,1,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 1}",0.9044058231257616,0.9038096216049699,0.9001383055014854,0.902784583410739,0.0018869647838263117,16,0.9068375,0.906325,0.902525,0.9052291666666666,0.001923547431757839,16
20,105.46080899238586,1.5279499669811891,0.4667657216389974,0.007415487734298648,0.01,20,40,4,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 40, 'model__reg_alpha': 4}",0.9029988272742503,0.9027897798356829,0.898504466009421,0.901431024373118,0.0020711483288241694,18,0.9059125,0.9057875,0.901425,0.904375,0.002086589122627304,17
21,136.81690661112467,0.9005271214633386,1.2524350484212239,0.4614005340758443,0.01,20,50,0,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 0}",0.9053902014933005,0.9045966264936794,0.9007344957526984,0.9035737745798927,0.0020336450876724988,14,0.9075,0.9068875,0.9028625,0.9057499999999999,0.0020570255629589486,15
22,130.77909366289774,1.8572780601833034,0.971768299738566,0.3592272405061584,0.01,20,50,1,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 1}",0.9059024258829264,0.9056279278701149,0.9012514891055119,0.9042606142861844,0.0021307217954607653,13,0.9083125,0.9080875,0.9036375,0.9066791666666667,0.0021527437273292887,13
23,130.6310180823008,1.7440475928355568,0.5747573375701904,0.011543005649235586,0.01,20,50,4,"{'model__learning_rate': 0.01, 'model__max_depth': 20, 'model__n_estimators': 50, 'model__reg_alpha': 4}",0.9046980903538387,0.9044058882672922,0.8997656994258348,0.9029565593489886,0.0022594299873695423,15,0.90755,0.9073,0.902675,0.9058416666666665,0.002241496276052116,14
